sample,treatment,genotype,shhpax2
A11,control,het,1.22
B11,control,wt,1.35
C11,control,het,1.33
D11,control,wt,1.61
A1,control,wt,1.47
B1,control,wt,1.13
C1,control,mut,1.06
D1,control,wt,1.5
E1,control,het,1.25
F1,control,het,1.43
G1,control,het,1.2
H1,control,wt,1.26
A6,ethanol,mut,0.81
B6,ethanol,mut,0.75
C6,ethanol,wt,1.12
D6,ethanol,het,1.06
E6,ethanol,wt,0.97
F6,ethanol,het,1.13
A11,ethanol,wt,1.08
B11,ethanol,het,1.02
C11,ethanol,mut,0.83
D11,ethanol,mut,0.7
E11,ethanol,het,0.83
F11,ethanol,het,1.04
G11,ethanol,het,0.89
H11,ethanol,mut ,0.75
A1,control,het,1.34
B1,control,wt,1.43
C1,control,mut,1.07
D1,control,mut,0.95
E1,control,wt,1.57
F1,control,het,1.23
A5,control,wt,1.34
B5,control,het,1.19
C5,control,het,1.11
D5,control,het,1.18
E5,ethanol,het,1
F5,ethanol,het,1.01
G5,ethanol,mut,0.83
A11,control,het,1.15
B11,control,het,1.37
C11,control,het,1.24
D11,control,het,1.3
E11,control,het,1.21
F11,control,wt ,1.55
G11,control,het,1.21
H11,control,wt,1.56
