group_pair,diff,lwr,upr,p.adj
trailing:+/?:control-leading:wthet:control,-1.0000000000000022,-4.540168614960491,2.5401686149604865,0.9975495699762121
anterior-posterior:+/?:control-leading:wthet:control,0.9999999999999991,-2.5401686149604896,4.540168614960487,0.9975495699762122
leading:-/-:control-leading:+/?:control,-0.09999999999999876,-3.854915851273523,3.6549158512735254,1
trailing:-/-:control-leading:+/?:control,-0.3500000000000023,-4.104915851273526,3.404915851273522,0.9999999643392868
anterior-posterior:-/-:control-leading:+/?:control,0.14999999999999813,-3.604915851273526,3.9049158512735223,0.9999999999965214
leading:+/?:ethanol-leading:wthet:control,-1.1000000000000005,-5.783202877210715,3.583202877210714,0.9995412617775989
trailing:+/?:ethanol-leading:wthet:control,-0.10000000000000187,-3.854915851273526,3.6549158512735223,1
anterior-posterior:+/?:ethanol-leading:wthet:control,0.3999999999999986,-3.3549158512735255,4.154915851273523,0.9999998514010504
leading:-/-:ethanol-leading:+/?:control,0.6857142857142855,-2.5918449746000896,3.9632735460286606,0.9998480213351649
trailing:-/-:ethanol-leading:+/?:control,-0.6000000000000005,-4.140168614960489,2.940168614960488,0.9999812072042982
anterior-posterior:-/-:ethanol-leading:+/?:control,4.542857142857144,1.2652978825427685,7.820416403171519,0.0010808243607153267
anterior-posterior:+/?:control-trailing:wthet:control,2.0000000000000013,-1.5401686149604874,5.54016861496049,0.7233159523248078
leading:-/-:control-trailing:+/?:control,0.9000000000000035,-2.8549158512735207,4.654915851273527,0.9994456040795806
trailing:-/-:control-trailing:+/?:control,0.6499999999999999,-3.104915851273524,4.404915851273524,0.999976727637272
anterior-posterior:-/-:control-trailing:+/?:control,1.1500000000000004,-2.6049158512735238,4.9049158512735245,0.9950965077213739
leading:+/?:ethanol-trailing:wthet:control,-0.09999999999999831,-4.783202877210712,4.5832028772107165,1
trailing:+/?:ethanol-trailing:wthet:control,0.9000000000000004,-2.8549158512735238,4.6549158512735245,0.9994456040795806
