"sample.names","treatment","time","seqjob"
"C10h.1","c","10","2"
"C10h.2","c","10","2"
"C10h.3","c","10","2"
"C10h.4","c","10","2"
"C10h.5","c","10","2"
"C14h.1","c","14","2"
"C14h.2","c","14","2"
"C14h.3","c","14","2"
"C14h.4","c","14","2"
"C14h.5","c","14","2"
"C8h.1","c","8","2"
"C8h.2","c","8","2"
"C8h.3","c","8","2"
"C8h.4","c","8","2"
"C8h.5","c","8","2"
"E.10h.1","e","10","1"
"E.10h.2","e","10","1"
"E.10h.3","e","10","1"
"E.10h.4","e","10","1"
"E.10h.5","e","10","1"
"E.8h.1","e","8","1"
"E.8h.2","e","8","1"
"E.8h.3","e","8","1"
"E.8h.4","e","8","1"
"E.8h.5","e","8","1"
"E10h.1","e","10","2"
"E10h.2","e","10","2"
"E10h.3","e","10","2"
"E10h.4","e","10","2"
"E10h.5","e","10","2"
"E14h.1","e","14","2"
"E14h.2","e","14","2"
"E14h.3","e","14","2"
"E14h.4","e","14","2"
"E14h.5","e","14","2"
"E8h.1","e","8","2"
"E8h.2","e","8","2"
"E8h.3","e","8","2"
"E8h.4","e","8","2"
"E8h.5","e","8","2"
"NoE.10h.1","c","10","1"
"NoE.10h.2","c","10","1"
"NoE.10h.3","c","10","1"
"NoE.10h.4","c","10","1"
"NoE.10h.5","c","10","1"
"NoE.6h.1","c","6","1"
"NoE.6h.2","c","6","1"
"NoE.6h.3","c","6","1"
"NoE.6h.4","c","6","1"
"NoE.6h.5","c","6","1"
"NoE.8h.1","c","8","1"
"NoE.8h.2","c","8","1"
"NoE.8h.3","c","8","1"
"NoE.8h.4","c","8","1"
"NoE.8h.5","c","8","1"
