ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	inc	sig	time	external_gene_name	description	chromosome_name	start_position	end_position
1	ENSDARG00000000394	938.696353314236	-0.0988002110529494	0.0301721095563457	-3.27455429884484	0.00105828798547383	0.0350565741332819	FALSE	TRUE	all	matr3l1.1	matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]	14	25079782	25099988
2	ENSDARG00000000551	33.8016835858639	1.19886013909883	0.114635193121399	10.4580461414605	1.34602620520654e-25	6.26463029673211e-22	FALSE	TRUE	all	slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]	13	24429918	24448278
3	ENSDARG00000000567	331.580550871879	-0.211990844812387	0.0484350489059587	-4.37680666378572	1.20430708227327e-05	0.00127044945581292	FALSE	TRUE	all	znf281a	zinc finger protein 281a [Source:ZFIN;Acc:ZDB-GENE-131126-34]	3	38762891	38783951
4	ENSDARG00000000887	287.549069412136	0.382466018067808	0.121990944193685	3.13520008059424	0.00171736936034701	0.0480055449326229	FALSE	TRUE	all	zgc:56699	zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]	23	32101202	32107608
5	ENSDARG00000001244	1049.63432461162	-0.219169017210657	0.0626834601564092	-3.49644095370265	0.000471508831583672	0.0199855856722029	FALSE	TRUE	all	srrm1	serine/arginine repetitive matrix 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2789]	17	25426091	25440344
6	ENSDARG00000001313	218.878207002904	-0.158239977893943	0.0482016612945995	-3.28287394342717	0.00102754602732115	0.0343643386981353	FALSE	TRUE	all	g2e3	G2/M-phase specific E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030616-400]	17	28798725	28811747
7	ENSDARG00000001447	66.9692088801732	0.42227103018493	0.0670188200823899	6.30078281989759	2.96146106611756e-10	1.4508561451111e-07	FALSE	TRUE	all	mier1b	mesoderm induction early response 1b, transcriptional regulator [Source:ZFIN;Acc:ZDB-GENE-070705-170]	2	5811482	5836116
8	ENSDARG00000001621	15.3390786785381	0.573176657654885	0.137437006251259	4.17046815329356	3.03974534460262e-05	0.00269475837295328	FALSE	TRUE	all	nfyal	nuclear transcription factor Y, alpha, like [Source:ZFIN;Acc:ZDB-GENE-040718-491]	8	25019542	25034411
9	ENSDARG00000001710	49.4324314358759	0.410101781018917	0.0990265292741488	4.14133246943933	3.45294029764134e-05	0.00291309238101615	FALSE	TRUE	all	flot1a	flotillin 1a [Source:ZFIN;Acc:ZDB-GENE-020430-1]	19	6938289	6957404
10	ENSDARG00000001754	409.135666695054	-0.232768510356845	0.0697755234961326	-3.3359622213332	0.000850047143862743	0.0301620921122835	FALSE	TRUE	all	noc2l	NOC2-like nucleolar associated transcriptional repressor [Source:ZFIN;Acc:ZDB-GENE-000607-75]	23	23126130	23179417
11	ENSDARG00000001807	16.2532513197667	0.459223875331307	0.123897670816029	3.70647706536139	0.000210162258013672	0.0109696842150127	FALSE	TRUE	all	tnfrsf21	tumor necrosis factor receptor superfamily, member 21 [Source:ZFIN;Acc:ZDB-GENE-030131-5971]	20	35797998	35841570
12	ENSDARG00000001873	108.698923312087	0.361786408490381	0.0864195055071641	4.18639757734311	2.83416735206826e-05	0.00253667061879827	FALSE	TRUE	all	phgdh	phosphoglycerate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030131-647]	9	48185936	48214216
